file_name,category,context,constraint,caption_0,explanation_0,question_0,answer_0,caption_1,explanation_1,question_1,answer_1,caption_2,explanation_2,question_2,answer_2,caption_3,explanation_3,question_3,answer_3,caption_4,explanation_4,question_4,answer_4
a-f-2-5.webp,Fable,The Crow and the Pitcher,"{""Type of the bird"":""sparrow"",""With or without a cork"":""without"",""With water"":""with"",""With or without stones"":""with""}","A sparrow is looking at a glass in front of it, which contains some water and small stones.","This image does not correspond to the story of ""The Crow Drinks Water,"" because the main character in the original story is a crow, not a sparrow.",What is looking at a glass?,A sparrow,"A sparrow looks at a glass. The glass is filled with water and stones, and the stones sink to the bottom of the glass.","The content of this picture does not match the story of the crow drinking water. In the story of the crow drinking water, there is a bottle filled with water. The crow throws stones into the bottle, causing the water surface to rise and drink water. However, in this picture, there is no crow, only a sparrow. The glass bottle has no lid and contains both water and stones.",What is the sparrow looking at?,at a glass in front of it,A sparrow is standing beside a glass containing stones and water on a table.,"This image does not match the ""The Crow Drinks Water"" story, as the protagonist is a sparrow, not a crow.",What does the glass contain?,some water and small stones,"A sparrow, its curiosity piqued, inspected a glass in front of it, its contents a mix of water and small stones, a simple yet intriguing discovery.","The image does not correspond with the original story of ""The Crow Drinks Water,"" which features a crow, not a sparrow.",What is the glass filled with?,A glass filled with water and stones,A sparrow observes a glass containing water and small stones.,"The image does not correspond with the original story of ""The Crow Drinks Water,"" which features a crow, not a sparrow.",What sinks to the bottom of the glass?,The stones
a-f-2-6,Fable,The Crow and the Pitcher,,,,,,,,,,,,,,,,,,,,,
a-f-2-7,Fable,The Crow and the Pitcher,,,,,,,,,,,,,,,,,,,,,
a-t-2-1.webp,Fable,The Crow and the Pitcher,"{""Type of the bird"":""crow"",""With or without a cork"":""without"",""With or without water"":""with"",""With or without stones"":""with""}","A crow is standing next to a glass filled with water and some stones, and there are also some stones on the ground.",,What is standing next to a glass filled with water and some stones?,A crow,A crow puts stones into a glass. The glass contains water and the stones it put in.,,What is next to the crow?,glass filled with water and some stones,"A crow is standing next to a glass filled with water and stones, with additional stones scattered on the ground.",,What is on the ground?,some stones,"A crow is standing beside a glass filled with water and some stones, with additional stones scattered on the ground.",,What animal puts stones into a glass?,A crow,"A crow is perched beside a glass containing water and pebbles, with additional pebbles scattered on the floor nearby.",,What does the crow put into the glass?,stones
a-t-2-2.webp,Fable,The Crow and the Pitcher,"{""Type of the bird"":""crow"",""With or without a cork"":""without"",""With or without water"":""with"",""With or without stones"":""with""}","In the forest, there is a crow standing on the ground, looking at a glass in front of it, which is filled with water and small stones.",,What animal is standing on the ground in the forest?,a crow,A crow looked at the water in the glass and threw stones into it.,,What is the crow doing?,looking at a glass in front of it,"A curious crow is standing on the ground near a glass filled with water and stones, set against a backdrop of a dense forest.",,What is inside the glass that the crow is looking at?,filled with water and small stones,"There's a crow in the forest, just chilling on the ground and checking out this glass filled with water and little stones",,What animal looked at the water in the glass?,A crow,"In the woods, a crow stands on the earth, gazing at a glass before it, which is filled with water and tiny rocks.",,What did the crow do after looking at the water in the glass?,threw stones into it
a-t-2-3.webp,Fable,The Crow and the Pitcher,"{""Type of the bird"":""crow"",""With or without a cork"":""without"",""With or without water"":""with"",""With or without stones"":""with""}","In the forest, there is a crow; in front of the crow is a glass filled with water and stones, and some stones have fallen to the ground.",,What is in the forest?,there is a crow,"A crow looked down at a glass. The glass was filled with water and stones, and the stones sank to the bottom.",,What is in front of the crow?,a glass filled with water and stones,"A cartoon crow stands on the ground, gazing at a glass on a table filled with water and stones, set in a forest environment.",,What has happened to some of the stones?,some stones have fallen to the ground,"In the woodland, a crow is perched beside a glass containing water and stones, with several stones having spilled onto the ground.",,What looked down at a glass?,A crow,"A crow peered into a glass, which was filled with water and stones that settled at the base.",,What was looked down at by a crow?,glass
a-t-2-4.webp,Fable,The Crow and the Pitcher,"{""Type of the bird"":""crow"",""With or without a cork"":""without"",""With or without water"":""with"",""With or without stones"":""with""}","In the forest, a crow has discovered a glass cup filled with water and many small stones.",,What creature found a glass cup filled with water and small stones?,a crow,"A crow looked at a glass containing water and stones, which sank to the bottom of the water.",,Where did the crow discover the glass cup filled with water and small stones?,in the forest,A crow is attentively observing a glass filled with water and stones on the forest ground.,,What did the crow discover in the forest?,glass cup filled with water and many small stones,"In the woodland, a crow has come across a glass vessel containing water and numerous small pebbles.",,What animal looked at the glass containing water and stones?,A crow,A crow observed a glass filled with water and stones that had sunken to the bottom.,,What sank to the bottom of the water when the crow looked at the glass?,stones
a-t-2-5.webp,Fable,The Crow and the Pitcher,"{""Type of the bird"":""crow"",""With or without a cork"":""without"",""With or without water"":""with"",""With or without stones"":""with""}","A crow in the forest has found a large glass cup containing water and stones, and there are also some stones on the ground.",,What kind of bird found the glass cup?,A crow,"A crow looks at a glass bottle, which contains water and stones sinking to the bottom of the water.",,Where did the crow find the large glass cup?,in the forest,A crow is standing on the ground beside a glass filled with water and colorful stones in a forest setting.,,What was inside the large glass cup?,containing water and stones,"A crow in the woodland has discovered a sizable glass vessel holding water and pebbles, with additional pebbles scattered on the ground.",,What else was near the glass cup that the crow found?,some stones on the ground,"In the forest, a crow has discovered a big glass containing water and stones, with additional stones lying around on the ground.",,What animal is observing the glass bottle?,A crow
a-t-2-6,Fable,The Crow and the Pitcher,"{""Type of the bird"":""crow"",""With or without a cork"":""without"",""With or without water"":""with"",""With or without stones"":""with""}",,,,,,,,,,,,,,,,,,,,
a-t-2-7,Fable,The Crow and the Pitcher,"{""Type of the bird"":""crow"",""With or without a cork"":""without"",""With or without water"":""with"",""With or without stones"":""with""}",,,,,,,,,,,,,,,,,,,,
a-f-3-1.webp,Fable,Cast pearls before swine,"{""Character"":""woman"",""Musical instrument"":""flute"",""Animal"":""cattle""}","An ancient Chinese woman is playing a flute in a meadow, with a yellow ox lying next to her, asleep on the ground.","This image does not match the story of ""Playing the Lute to a Bull,"" because the original story describes a man playing the guqin, whereas the image shows a girl playing the flute.",Who is playing a flute in a meadow?,An ancient Chinese woman,"A scalper is resting on the grass, next to a woman sitting on the grass playing a flute.","The content of this picture does not match the content of playing the lute to a cow. In the story of playing the lute to a cow, an adult man is playing the guqin to a cow. However, in this picture, a woman is playing the flute to a cow, and the instruments and characters do not match the original story plot.",What activity is the ancient Chinese woman engaged in?,playing a flute in a meadow,A woman in traditional attire plays a flute beside a peacefully sleeping ox in a tranquil landscape.,"This picture does not reflect the ""Playing the Lute to a Bull"" story, as the musician is a girl playing the flute, not a man playing the guqin.",What animal is lying next to the ancient Chinese woman?,a yellow ox,"An elderly Chinese lady serenades the meadow with her flute, a slumbering yellow ox by her side.","The image does not match the original story of ""Playing the Lute to a Bull,"" which describes a man playing the guqin, unlike the image with a girl playing the flute.",In what state is the yellow ox?,asleep on the ground,"A woman from ancient China is playing a flute in a meadow, with a yellow ox lying beside her, fast asleep on the ground.","The image does not match the original story of ""Playing the Lute to a Bull,"" which describes a man playing the guqin, unlike the image with a girl playing the flute.",Who is resting on the grass?,A scalper
a-f-3-2.webp,Fable,Cast pearls before swine,"{""Character"":""man"",""Musical instrument"":""flute"",""Animal"":""dog""}","An ancient Chinese man sits on the grass playing a flute, with a small dog lying next to him, asleep.","This image does not correspond to the story of ""Playing the Lute to a Bull,"" because in the original story, a person is playing the guqin next to a cow, whereas in the image, a man is playing the flute, and a dog is beside him instead of a cow.",Who is sitting on the grass playing a flute?,An ancient Chinese man,"A white puppy is resting on the ground, with a male sitting on the grass playing the flute next to it.","The content of this picture does not match the content of playing the lute to a cow. In the story of playing the lute to a cow, an adult man is playing the guqin to a cow. However, in this picture, a man is playing the flute to a small dog, and the instruments and animals do not match the original story plot.",What activity is the ancient Chinese man engaged in?,playing a flute,A man in traditional attire plays a flute on the grass with a sleeping white dog beside him.,"The scene here departs from the ""Playing the Lute to a Bull"" story, as the musician is a man playing the flute, and a dog is present, not a cow.",What animal is lying next to the ancient Chinese man?,a small dog,"An aged Chinese gentleman reclines on the verdant grass, his flute melody lulling a tiny dog into dreams.","The image does not align with the original story of ""Playing the Lute to a Bull,"" which features a man playing the guqin beside a cow, whereas the image shows a man playing the flute with a dog.",What is the state of the small dog lying next to the ancient Chinese man?,asleep,"An ancient Chinese man is sitting on the grass, playing a flute, with a small dog lying next to him, also fast asleep.","The image does not align with the original story of ""Playing the Lute to a Bull,"" which features a man playing the guqin beside a cow, whereas the image shows a man playing the flute with a dog.",What is resting on the ground?,A white puppy
a-f-3-3.webp,Fable,Cast pearls before swine,"{""Character"":""child"",""Musical instrument"":""flute"",""Animal"":""cattle""}","A child is playing a flute in a field, with a sleeping yellow ox beside him.","This image does not align with the story of ""Playing the Lute to a Bull,"" because the original story features an adult man, not a child as depicted in the image, and the person in the story is playing the guqin, whereas the person in the image is playing the flute.",What activity is the child engaged in?,A child is playing a flute in a field.,"A child is sitting and playing the flute, while a scalper is resting on the grass next to him.","The content of this picture does not match the content of playing the lute to a cow. In the story of playing the lute to a cow, an adult man is playing the guqin to a cow. However, in this picture, a child is playing the flute to a cow, and the instruments and characters do not match the original story plot.",What animal is beside the child?,A sleeping yellow ox is beside the child.,A child in traditional attire plays a flute beside a sleeping ox on a grassy field.,"This image does not align with the ""Playing the Lute to a Bull"" story, as the musician is a child playing the flute, not an adult man playing the guqin.",What is the child doing?,A child is sitting and playing the flute,"A youngster plays a flute amidst the field, a peaceful yellow ox resting beside him.","The image does not correspond with the original story of ""Playing the Lute to a Bull,"" which involves an adult man playing the guqin, unlike the image with a child playing the flute.",What is resting on the grass next to the child?,A scalper is resting on the grass next to him,"A child is playing a flute in a field, with a sleeping yellow ox next to him.","The image does not correspond with the original story of ""Playing the Lute to a Bull,"" which involves an adult man playing the guqin, unlike the image with a child playing the flute.",Who is playing the flute beside a sleeping ox?,A child in traditional attire
